date,symbol,close
2015-01-01,BTC,217.46
2015-01-01,GLD,123.45
2015-01-01,QQQ,92.87
2015-02-01,BTC,254.26
2015-02-01,GLD,116.16
2015-02-01,QQQ,99.58
2015-03-01,BTC,244.22
2015-03-01,GLD,113.66
2015-03-01,QQQ,97.23
2015-04-01,BTC,236.15
2015-04-01,GLD,113.47
2015-04-01,QQQ,99.10
2015-05-01,BTC,230.19
2015-05-01,GLD,114.10
2015-05-01,QQQ,101.32
2015-06-01,BTC,263.07
2015-06-01,GLD,112.37
2015-06-01,QQQ,98.81
2015-07-01,BTC,284.65
2015-07-01,GLD,104.93
2015-07-01,QQQ,103.31
2015-08-01,BTC,230.06
2015-08-01,GLD,108.82
2015-08-01,QQQ,96.26
2015-09-01,BTC,236.06
2015-09-01,GLD,106.86
2015-09-01,QQQ,94.14
2015-10-01,BTC,314.17
2015-10-01,GLD,109.30
2015-10-01,QQQ,104.84
2015-11-01,BTC,377.32
2015-11-01,GLD,101.92
2015-11-01,QQQ,105.48
2015-12-01,BTC,430.57
2015-12-01,GLD,101.46
2015-12-01,QQQ,103.80
2016-01-01,BTC,368.77
2016-01-01,GLD,106.95
2016-01-01,QQQ,96.62
2016-02-01,BTC,437.70
2016-02-01,GLD,118.64
2016-02-01,QQQ,95.11
2016-03-01,BTC,416.73
2016-03-01,GLD,117.64
2016-03-01,QQQ,101.63
2016-04-01,BTC,448.32
2016-04-01,GLD,123.65
2016-04-01,QQQ,98.39
2016-05-01,BTC,531.39
2016-05-01,GLD,116.06
2016-05-01,QQQ,102.69
2016-06-01,BTC,673.34
2016-06-01,GLD,126.47
2016-06-01,QQQ,100.35
2016-07-01,BTC,624.68
2016-07-01,GLD,128.98
2016-07-01,QQQ,107.53
2016-08-01,BTC,575.47
2016-08-01,GLD,124.78
2016-08-01,QQQ,108.65
2016-09-01,BTC,609.73
2016-09-01,GLD,125.64
2016-09-01,QQQ,111.06
2016-10-01,BTC,700.97
2016-10-01,GLD,121.94
2016-10-01,QQQ,109.44
2016-11-01,BTC,745.69
2016-11-01,GLD,111.75
2016-11-01,QQQ,109.92
2016-12-01,BTC,963.74
2016-12-01,GLD,109.61
2016-12-01,QQQ,111.16
2017-01-01,BTC,970.40
2017-01-01,GLD,115.55
2017-01-01,QQQ,116.88
2017-02-01,BTC,1179.97
2017-02-01,GLD,119.23
2017-02-01,QQQ,121.99
2017-03-01,BTC,1071.79
2017-03-01,GLD,118.72
2017-03-01,QQQ,124.46
2017-04-01,BTC,1347.89
2017-04-01,GLD,120.77
2017-04-01,QQQ,127.86
2017-05-01,BTC,2286.41
2017-05-01,GLD,120.62
2017-05-01,QQQ,132.84
2017-06-01,BTC,2480.84
2017-06-01,GLD,118.02
2017-06-01,QQQ,129.76
2017-07-01,BTC,2875.34
2017-07-01,GLD,120.75
2017-07-01,QQQ,135.03
2017-08-01,BTC,4703.39
2017-08-01,GLD,125.82
2017-08-01,QQQ,137.83
2017-09-01,BTC,4338.71
2017-09-01,GLD,121.58
2017-09-01,QQQ,137.42
2017-10-01,BTC,6468.40
2017-10-01,GLD,120.67
