hour,trades,buy_usd,sell_usd,imbalance,vwap,largest_usd,whales,whale_buy_usd,whale_sell_usd
2026-09-11T19:00Z,4903,3971867,2150495,0.2975,77139.34,302974,1,302974,0
2026-09-11T21:00Z,3305,1771449,1430776,0.1064,77343.05,79141,0,0,0
2026-09-11T23:00Z,2563,1531613,533978,0.483,77116.5,83649,0,0,0
2026-09-12T03:00Z,1552,807876,1034459,-0.123,77258.79,64363,0,0,0
2026-09-12T08:00Z,1872,585777,2853238,-0.6593,77270.74,136061,0,0,0
2026-09-12T12:00Z,1711,295235,937346,-0.5209,77311.68,74996,0,0,0
2026-09-12T15:00Z,2423,862867,1275115,-0.1928,77411.78,177957,0,0,0
2026-09-12T18:00Z,2357,1187192,1402788,-0.0832,77187.14,161099,0,0,0
2026-09-12T21:00Z,1905,438758,357666,0.1018,77176.53,75002,0,0,0
2026-09-12T23:00Z,1462,328678,276834,0.0856,77225.1,50000,0,0,0
2026-09-13T03:00Z,1155,361270,432130,-0.0893,77265.17,53756,0,0,0
2026-09-13T13:00Z,3054,1309728,1042053,0.1138,76652.23,50613,0,0,0
2026-09-13T17:00Z,3159,1966304,1296710,0.2052,77289.72,115139,0,0,0
2026-09-13T20:00Z,2356,870880,1952666,-0.3831,77237.49,92686,0,0,0
2026-09-13T22:00Z,6079,4460624,3823001,0.077,76874.27,358343,1,0,358343
2026-09-14T00:00Z,5358,1241056,2445937,-0.3268,76656.36,290020,1,0,290020
2026-09-14T05:00Z,2264,5760544,3184032,0.2881,77615.55,1029873,4,2529874,0
2026-09-14T11:00Z,4488,2584064,1647325,0.2214,77784.92,99980,0,0,0
2026-09-14T17:00Z,5670,4066272,2756058,0.192,78822.62,250000,0,0,0
2026-09-14T21:00Z,5739,7890874,13588150,-0.2652,79086.67,703976,2,250000,703976
2026-09-15T00:00Z,3890,2143316,6452055,-0.5013,78271.56,567662,2,273404,567662
2026-09-15T05:00Z,3114,2736554,4164006,-0.2069,77489.51,385452,1,0,385452
2026-09-15T11:00Z,3792,1803603,8455260,-0.6484,76952.52,280985,1,0,280985
2026-09-15T16:00Z,7386,6116578,10157041,-0.2483,76356.41,249985,0,0,0
2026-09-15T19:00Z,9138,6323815,9465822,-0.199,75972.78,250000,0,0,0
2026-09-15T22:00Z,6281,6364124,7620914,-0.0899,75422.75,250000,0,0,0
2026-09-16T01:00Z,3810,2637765,1577538,0.2515,75734.37,100000,0,0,0
2026-09-16T07:00Z,2843,8468261,1460991,0.7057,75947.08,277218,3,824030,0
2026-09-16T13:00Z,4535,1767718,1748622,0.0054,75919.34,100000,0,0,0
2026-09-16T17:00Z,5612,3437370,4748532,-0.1602,75506.73,250000,1,250000,0
2026-09-16T21:00Z,5766,5401586,2828189,0.3127,76142.39,126970,0,0,0
2026-09-17T00:00Z,3532,6362795,1954097,0.5301,76050.8,352330,1,352330,0
2026-09-17T05:00Z,2625,1769432,1032306,0.2631,76402.69,250000,1,250000,0
2026-09-17T10:00Z,3330,864706,4036863,-0.6472,76282.99,470488,1,0,470488
2026-09-17T15:00Z,6422,5222880,7160580,-0.1565,76544.77,250000,2,500000,0
2026-09-17T19:00Z,3883,1801486,2452720,-0.1531,76515.71,92109,0,0,0
2026-09-17T22:00Z,3260,1794499,3304399,-0.2961,76298.46,373052,1,0,373052
2026-09-18T00:00Z,3080,904832,4922841,-0.6895,76284.81,184891,0,0,0
2026-09-18T05:00Z,4390,5145054,2813474,0.293,77472.35,202000,0,0,0
2026-09-18T10:00Z,4138,5417094,3056781,0.2785,78077.45,250000,4,1000000,0
2026-09-18T14:00Z,12000,29296279,17795679,0.2442,80211.83,718366,14,3755886,1000000
2026-09-18T18:00Z,6910,11874207,4916590,0.4144,80782.35,427818,5,1427818,0
2026-09-18T21:00Z,4669,2955521,2756160,0.0349,81088.51,250000,1,250000,0
2026-09-18T23:00Z,4160,4242618,8617049,-0.3402,81038.74,125004,0,0,0
2026-09-19T03:00Z,3300,2824420,1980479,0.1756,81342.26,250000,3,750000,0
2026-09-19T08:00Z,3488,2327620,778369,0.4988,81127.53,206615,0,0,0
2026-09-19T12:00Z,2600,1024001,2007404,-0.3244,81263.02,250000,0,0,0
2026-09-19T16:00Z,5237,5667932,2235090,0.4344,81749.52,250000,4,1000000,0
2026-09-19T19:00Z,3563,2527934,1707895,0.1936,81414.61,136778,0,0,0
2026-09-19T22:00Z,4303,1939460,6291491,-0.5287,81009.17,250000,0,0,0
2026-09-20T00:00Z,2404,2294255,2073448,0.0506,81243.75,250000,4,1000000,0
2026-09-20T05:00Z,3598,2308237,3761606,-0.2394,80453.7,237513,0,0,0
2026-09-20T10:00Z,2692,4494076,1546793,0.4879,80469.85,847595,9,2575879,847595
2026-09-20T14:00Z,3595,1967813,748463,0.4489,80543.18,78405,0,0,0
2026-09-20T17:00Z,5064,2825782,2136426,0.1389,81246.63,274349,1,0,274349
2026-09-20T20:00Z,3310,5501838,3123388,0.2758,81165.8,250000,1,250000,0
2026-09-20T22:00Z,4496,5532253,2096349,0.4504,81045.58,271821,3,771821,0
2026-09-21T00:00Z,7030,4000770,3491248,0.068,81568.41,107282,0,0,0
2026-09-21T05:00Z,3549,4699268,1691643,0.4706,81623.8,250000,0,0,0
2026-09-21T11:00Z,6147,7691811,3218268,0.41,84688.96,335692,4,1085692,0
2026-09-21T18:00Z,7101,4830386,6714525,-0.1632,85869.45,373301,4,852894,373301
2026-09-21T22:00Z,5400,5984080,4335319,0.1598,86662.42,323602,1,323602,0
2026-09-22T01:00Z,8089,3909789,15097564,-0.5886,85929.39,258000,3,500000,258000
2026-09-22T07:00Z,4546,3830945,3448562,0.0525,85391.26,370825,4,1120825,0
2026-09-22T13:00Z,5278,3729387,4383587,-0.0806,85963.69,250000,4,1000000,0
2026-09-22T17:00Z,6440,7921298,4447836,0.2808,86499.24,250000,4,1000000,0
2026-09-22T20:00Z,4503,10255135,4116373,0.4271,86259.61,250000,8,2000000,0
2026-09-22T23:00Z,5039,6843957,2743239,0.4277,86294.33,598030,1,598030,0
2026-09-23T03:00Z,3663,1150875,997993,0.0711,86524.68,169740,0,0,0
2026-09-23T09:00Z,5091,1961474,7291698,-0.576,85940.81,282148,1,0,282148
2026-09-23T14:00Z,12000,13821105,28701033,-0.3499,84816.62,500000,8,1000000,1659404
2026-09-23T18:00Z,5848,3051059,5939129,-0.3212,84216.53,250000,1,250000,0
2026-09-23T22:00Z,3813,2429679,5272314,-0.3691,84383.83,250000,1,250000,0
2026-09-24T01:00Z,4068,2663360,3585399,-0.1476,84335.39,250000,2,500000,0
2026-09-24T07:00Z,4346,1117042,1471715,-0.137,84110.78,233733,0,0,0
2026-09-24T13:00Z,5312,2785630,2406918,0.0729,83557.36,250000,1,250000,0
2026-09-24T18:00Z,6798,5937900,8121946,-0.1553,84102.56,250000,7,1750000,0
2026-09-24T21:00Z,3162,1060759,1365483,-0.1256,84374.82,58600,0,0,0
2026-09-25T00:00Z,3066,4876194,1696391,0.4838,84490.76,250000,0,0,0
2026-09-25T05:00Z,3471,4011264,1310963,0.5074,84188.31,204098,0,0,0
2026-09-25T11:00Z,4750,3245234,1505730,0.3661,84688.53,250000,1,250000,0
2026-09-25T16:00Z,8685,5357665,6944447,-0.129,83749.86,422981,2,250000,422981
2026-09-25T20:00Z,4910,11740132,2049681,0.7027,84000.47,250000,4,1000000,0
