as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-08-07,BTC,LONG,11.94,HIGH,279.58,264.47,-5.405,WRONG,2015-08-10,BACKFILL
2015-08-07,GLD,HELD,-8.38,HIGH,104.65,105.72,1.022,RIGHT,2015-08-10,BACKFILL
2015-08-07,QQQ,LONG,2.8,MEDIUM,101.8,102.96,1.139,RIGHT,2015-08-10,BACKFILL
2015-08-10,BTC,LONG,5.91,HIGH,264.47,270.39,2.238,RIGHT,2015-08-11,BACKFILL
2015-08-10,GLD,HELD,-7.39,HIGH,105.72,106.26,0.511,RIGHT,2015-08-11,BACKFILL
2015-08-10,QQQ,LONG,3.91,MEDIUM,102.96,101.64,-1.282,WRONG,2015-08-11,BACKFILL
2015-08-11,BTC,LONG,8.33,HIGH,270.39,266.38,-1.483,WRONG,2015-08-12,BACKFILL
2015-08-11,GLD,HELD,-6.86,HIGH,106.26,107.75,1.402,RIGHT,2015-08-12,BACKFILL
2015-08-11,QQQ,LONG,2.51,MEDIUM,101.64,101.99,0.344,RIGHT,2015-08-12,BACKFILL
2015-08-12,BTC,LONG,6.8,HIGH,266.38,264.08,-0.863,WRONG,2015-08-13,BACKFILL
2015-08-12,GLD,HELD,-5.51,HIGH,107.75,106.86,-0.826,WRONG,2015-08-13,BACKFILL
2015-08-12,QQQ,LONG,2.8,MEDIUM,101.99,101.83,-0.157,WRONG,2015-08-13,BACKFILL
2015-08-13,BTC,LONG,5.94,HIGH,264.08,265.68,0.606,RIGHT,2015-08-14,BACKFILL
2015-08-13,GLD,HELD,-6.24,HIGH,106.86,106.85,-0.009,WRONG,2015-08-14,BACKFILL
2015-08-13,QQQ,LONG,2.59,MEDIUM,101.83,101.98,0.147,RIGHT,2015-08-14,BACKFILL
2015-08-14,BTC,LONG,6.65,HIGH,265.68,257.98,-2.898,WRONG,2015-08-17,BACKFILL
2015-08-14,GLD,HELD,-6.19,HIGH,106.85,107.13,0.262,RIGHT,2015-08-17,BACKFILL
2015-08-14,QQQ,LONG,2.69,MEDIUM,101.98,102.83,0.833,RIGHT,2015-08-17,BACKFILL
2015-08-17,BTC,LONG,3.58,MEDIUM,257.98,211.08,-18.18,WRONG,2015-08-18,BACKFILL
2015-08-17,GLD,HELD,-5.88,HIGH,107.13,107.11,-0.019,WRONG,2015-08-18,BACKFILL
2015-08-17,QQQ,LONG,3.48,MEDIUM,102.83,102.31,-0.506,WRONG,2015-08-18,BACKFILL
2015-08-18,BTC,FLAT,-15.21,HIGH,211.08,226.68,7.391,WRONG,2015-08-19,BACKFILL
2015-08-18,GLD,HELD,-5.84,HIGH,107.11,108.55,1.344,RIGHT,2015-08-19,BACKFILL
2015-08-18,QQQ,LONG,2.89,MEDIUM,102.31,101.63,-0.665,WRONG,2015-08-19,BACKFILL
2015-08-19,BTC,FLAT,-9.07,HIGH,226.68,235.35,3.825,WRONG,2015-08-20,BACKFILL
2015-08-19,GLD,HELD,-4.52,MEDIUM,108.55,110.44,1.741,RIGHT,2015-08-20,BACKFILL
2015-08-19,QQQ,LONG,2.15,MEDIUM,101.63,98.82,-2.765,WRONG,2015-08-20,BACKFILL
2015-08-20,BTC,FLAT,-5.65,HIGH,235.35,232.57,-1.181,RIGHT,2015-08-21,BACKFILL
2015-08-20,GLD,HELD,-2.79,MEDIUM,110.44,111.13,0.625,RIGHT,2015-08-21,BACKFILL
2015-08-20,QQQ,FLAT,-0.73,LOW,98.82,94.5,-4.372,RIGHT,2015-08-21,BACKFILL
2015-08-21,BTC,FLAT,-6.83,HIGH,232.57,210.49,-9.494,RIGHT,2015-08-24,BACKFILL
2015-08-21,GLD,HELD,-2.12,MEDIUM,111.13,110.53,-0.54,WRONG,2015-08-24,BACKFILL
2015-08-21,QQQ,FLAT,-5.08,HIGH,94.5,90.86,-3.852,RIGHT,2015-08-24,BACKFILL
2015-08-24,BTC,FLAT,-15.67,HIGH,210.49,221.61,5.283,WRONG,2015-08-25,BACKFILL
2015-08-24,GLD,HELD,-2.57,MEDIUM,110.53,109.16,-1.239,WRONG,2015-08-25,BACKFILL
2015-08-24,QQQ,FLAT,-8.72,HIGH,90.86,90.52,-0.374,RIGHT,2015-08-25,BACKFILL
2015-08-25,BTC,FLAT,-11.2,HIGH,221.61,225.83,1.904,WRONG,2015-08-26,BACKFILL
2015-08-25,GLD,HELD,-3.69,MEDIUM,109.16,107.67,-1.365,WRONG,2015-08-26,BACKFILL
