day,dir,entry,exit,qty,pnl,pnl_gross,stop_dist,why,min_in,min_out,R,R_gross,atr,market
2010-09-07,-1,1856.75,1857.5,7,-19.04,-3.5,33.5625,time,930,955,-0.04052141527001862,-0.0074487895716946,67.125,NQ
2010-09-13,1,1915.75,1918.0,7,22.96,38.5,31.348214285714285,time,930,955,0.05231557960694959,0.08772429507262888,62.69642857142857,NQ
2010-09-20,1,1985.0,1986.25,8,10.24,28.0,30.348214285714285,time,930,955,0.021088555457487498,0.057664018829067375,60.69642857142857,NQ
2010-09-27,-1,2017.0,2010.0,8,102.24,120.0,30.3125,time,930,955,0.2108041237113402,0.24742268041237114,60.625,NQ
2010-10-04,-1,1972.75,1972.75,9,-10.98,9.0,27.517857142857142,time,930,955,-0.022167423750811162,0.018170019467878003,55.035714285714285,NQ
2010-10-11,1,2022.0,2024.75,9,38.519999999999996,58.5,27.625,time,930,955,0.07746606334841628,0.11764705882352941,55.25,NQ
2010-10-18,1,2101.75,2102.25,9,-1.9800000000000004,18.0,26.339285714285715,time,930,955,-0.0041762711864406785,0.03796610169491525,52.67857142857143,NQ
2010-10-25,1,2118.75,2110.75,8,-137.76,-120.0,28.098214285714285,time,930,955,-0.30642516682554816,-0.2669208770257388,56.19642857142857,NQ
2010-11-01,1,2121.75,2125.25,9,52.019999999999996,72.0,26.383928571428573,time,930,955,0.1095363790186125,0.1516074450084602,52.767857142857146,NQ
2010-11-08,-1,2186.75,2185.75,9,7.02,27.0,26.803571428571427,time,930,955,0.014550299800133245,0.05596269153897402,53.607142857142854,NQ
2010-11-15,-1,2130.5,2128.0,8,30.240000000000002,48.0,28.330357142857142,time,930,955,0.06671289000945478,0.10589347620548377,56.660714285714285,NQ
2010-11-22,1,2141.25,2150.75,9,160.02,180.0,26.401785714285715,time,930,955,0.33671964829218803,0.3787622590463307,52.80357142857143,NQ
2010-11-29,-1,2145.25,2144.5,9,2.5199999999999996,22.5,25.616071428571427,time,930,955,0.0054653189264552106,0.048797490414778676,51.232142857142854,NQ
2010-12-06,-1,2190.0,2189.25,10,2.8000000000000007,25.0,23.044642857142858,time,930,955,0.006075164664858583,0.05424254165052305,46.089285714285715,NQ
2010-12-13,-1,2212.75,2206.75,10,107.8,130.0,24.214285714285715,time,930,955,0.22259587020648966,0.2684365781710914,48.42857142857143,NQ
2010-12-20,-1,2224.25,2222.25,10,27.8,50.0,23.133928571428573,time,930,955,0.06008490930142802,0.1080663836356619,46.267857142857146,NQ
2010-12-27,-1,2231.5,2230.0,11,19.58,44.0,21.419642857142858,time,930,955,0.04155064610254272,0.09337223843268028,42.839285714285715,NQ
2011-01-03,1,2253.5,2252.0,11,-46.42,-22.0,21.026785714285715,time,930,955,-0.10034819532908705,-0.04755838641188959,42.05357142857143,NQ
2011-01-10,-1,2285.25,2283.75,12,21.36,48.0,20.642857142857142,time,930,955,0.04311418685121107,0.09688581314878893,41.285714285714285,NQ
2011-01-18,1,2326.5,2327.25,14,3.9200000000000017,35.0,17.491071428571427,time,930,955,0.00800408371618173,0.07146503318019398,34.982142857142854,NQ
2011-01-24,-1,2294.0,2298.5,13,-132.86,-104.0,18.044642857142858,time,930,955,-0.28318654131618015,-0.22167243938644235,36.089285714285715,NQ
2011-01-31,-1,2276.5,2280.25,13,-113.36,-84.5,18.9375,time,930,955,-0.23023102310231022,-0.1716171617161716,37.875,NQ
2011-02-07,1,2347.25,2346.5,13,-35.36,-6.5,18.214285714285715,time,930,955,-0.07466666666666666,-0.01372549019607843,36.42857142857143,NQ
2011-02-14,1,2383.25,2384.0,13,3.6400000000000006,32.5,18.955357142857142,time,930,955,0.007385774846914744,0.06594441827602449,37.910714285714285,NQ
2011-02-22,-1,2321.75,2321.25,12,-2.6400000000000006,24.0,19.383928571428573,time,930,955,-0.005674804237678489,0.0515891294334408,38.767857142857146,NQ
2011-02-28,1,2350.5,2351.0,12,-2.6400000000000006,24.0,20.017857142857142,time,930,955,-0.005495093666369314,0.049955396966993755,40.035714285714285,NQ
2011-03-07,-1,2331.5,2328.25,12,63.36,90.0,19.75,time,930,955,0.13367088607594937,0.189873417721519,39.5,NQ
2011-03-14,1,2285.5,2288.0,12,45.36,72.0,20.8125,time,930,955,0.09081081081081081,0.14414414414414414,41.625,NQ
2011-03-15,1,2262.5,2256.25,11,-150.92,-126.5,21.973214285714285,time,930,955,-0.31219829337667615,-0.26168224299065423,43.94642857142857,NQ
2011-03-21,1,2259.75,2258.75,10,-32.2,-10.0,23.678571428571427,time,930,955,-0.06799396681749624,-0.021116138763197588,47.357142857142854,NQ
2011-03-22,-1,2256.75,2256.75,10,-12.2,10.0,23.205357142857142,time,930,955,-0.026287033474413236,0.02154674874951905,46.410714285714285,NQ
2011-03-25,1,2313.75,2313.75,11,-13.42,11.0,22.446428571428573,time,930,955,-0.027175815433571993,0.02227525855210819,44.892857142857146,NQ
2011-03-28,-1,2310.5,2301.25,10,172.8,195.0,24.4375,time,930,955,0.35355498721227624,0.3989769820971867,48.875,NQ
2011-03-31,1,2336.75,2338.5,10,22.8,45.0,23.955357142857142,time,930,955,0.047588520313082375,0.09392471114424153,47.910714285714285,NQ
2011-04-04,-1,2328.0,2332.5,10,-102.2,-80.0,23.214285714285715,time,930,955,-0.2201230769230769,-0.1723076923076923,46.42857142857143,NQ
2011-04-11,-1,2304.5,2310.0,11,-134.42,-110.0,22.616071428571427,time,930,955,-0.27016186340307935,-0.22108172127911568,45.232142857142854,NQ
2011-04-14,-1,2308.0,2308.5,11,-24.42,-0.0,20.848214285714285,time,930,955,-0.05324197002141328,-0.0,41.69642857142857,NQ
2011-04-15,-1,2303.5,2304.5,12,-38.64,-12.0,20.267857142857142,time,930,955,-0.07943612334801763,-0.024669603524229075,40.535714285714285,NQ
2011-04-18,-1,2286.25,2288.5,12,-68.64,-42.0,20.410714285714285,time,930,955,-0.14012248468941382,-0.0857392825896763,40.82142857142857,NQ
2011-04-19,-1,2298.25,2302.75,12,-122.64,-96.0,20.526785714285715,time,930,955,-0.24894301870378424,-0.1948673336233145,41.05357142857143,NQ
2011-04-20,1,2353.25,2354.5,12,15.36,42.0,19.741071428571427,time,930,955,0.03241971958389869,0.08864767073722299,39.482142857142854,NQ
2011-04-25,1,2380.25,2379.75,12,-26.64,0.0,19.375,time,930,955,-0.05729032258064516,0.0,38.75,NQ
2011-05-02,-1,2399.25,2401.0,13,-61.36,-32.5,18.285714285714285,time,930,955,-0.1290625,-0.068359375,36.57142857142857,NQ
2011-05-05,1,2370.75,2371.75,14,10.920000000000002,42.0,16.875,time,930,955,0.023111111111111114,0.08888888888888889,33.75,NQ
2011-05-06,-1,2381.0,2379.75,14,17.92,49.0,17.321428571428573,time,930,955,0.036948453608247424,0.10103092783505153,34.642857142857146,NQ
2011-05-09,-1,2390.25,2388.0,13,42.64,71.5,18.1875,time,930,955,0.09017182130584192,0.15120274914089346,36.375,NQ
2011-05-24,-1,2309.0,2301.5,14,192.92000000000002,224.0,17.625,time,930,955,0.3909219858156029,0.45390070921985815,35.25,NQ
2011-05-25,1,2315.75,2310.0,14,-178.07999999999998,-147.0,17.419642857142858,time,930,955,-0.3651050743208611,-0.30138390568939005,34.839285714285715,NQ
2011-05-31,-1,2360.5,2372.0,14,-339.08,-308.0,17.178571428571427,time,930,955,-0.704948024948025,-0.6403326403326404,34.357142857142854,NQ
2011-06-02,1,2329.25,2327.0,14,-80.08,-49.0,17.705357142857142,time,930,955,-0.16153303076147252,-0.09884014120020171,35.410714285714285,NQ
2011-06-06,1,2279.5,2273.25,13,-178.36,-149.5,18.875,time,930,955,-0.36344370860927155,-0.304635761589404,37.75,NQ
2011-06-08,-1,2249.5,2252.75,13,-100.36,-71.5,18.901785714285715,time,930,955,-0.2042135096835144,-0.14548889938592346,37.80357142857143,NQ
2011-06-09,1,2262.0,2256.0,13,-171.86,-143.0,19.142857142857142,time,930,955,-0.3452985074626866,-0.2873134328358209,38.285714285714285,NQ
2011-06-10,-1,2232.75,2221.75,13,270.14,299.0,17.955357142857142,time,930,955,0.5786573843858777,0.6404773744405768,35.910714285714285,NQ
2011-06-13,1,2221.0,2217.75,13,-100.36,-71.5,18.294642857142858,time,930,955,-0.2109907271839922,-0.15031722791605662,36.589285714285715,NQ
2011-06-20,1,2199.5,2199.75,14,-10.079999999999998,21.0,17.732142857142858,time,930,955,-0.020302114803625374,0.04229607250755287,35.464285714285715,NQ
2011-06-27,1,2257.0,2247.5,14,-283.08,-252.0,17.669642857142858,time,930,955,-0.5721677614957049,-0.5093481556341587,35.339285714285715,NQ
2011-07-11,1,2358.0,2359.5,12,21.36,48.0,20.419642857142858,time,930,955,0.04358548316571928,0.09794490599038042,40.839285714285715,NQ
2011-07-18,-1,2336.25,2341.5,12,-140.64,-114.0,20.571428571428573,time,930,955,-0.28486111111111106,-0.23090277777777773,41.142857142857146,NQ
2011-07-25,1,2423.5,2421.5,11,-57.42,-33.0,21.196428571428573,time,930,955,-0.12313395113732097,-0.07076663858466722,42.392857142857146,NQ
2011-08-01,-1,2342.0,2350.5,10,-182.2,-160.0,23.571428571428573,time,930,955,-0.38648484848484843,-0.33939393939393936,47.142857142857146,NQ
2011-08-08,1,2085.0,2059.25,9,-474.48,-454.5,25.776785714285715,time,930,955,-1.022625562868029,-0.979563560789747,51.55357142857143,NQ
2011-08-15,1,2204.5,2210.75,7,78.96000000000001,94.5,34.13392857142857,time,930,955,0.16523149359142036,0.19775045775568925,68.26785714285714,NQ
2011-08-22,-1,2049.25,2042.25,6,76.68,90.0,37.607142857142854,time,930,955,0.16991452991452996,0.19943019943019946,75.21428571428571,NQ
2011-08-29,1,2220.5,2221.75,5,6.4,17.5,42.88392857142857,time,930,955,0.01492400582968978,0.04080782844055799,85.76785714285714,NQ
2011-09-06,1,2143.75,2167.75,4,187.12,196.0,51.38392857142857,time,930,955,0.45520069504778454,0.47680278019113814,102.76785714285714,NQ
2011-09-12,1,2166.5,2187.5,4,163.12,172.0,52.8125,time,930,955,0.3860828402366864,0.40710059171597635,105.625,NQ
2011-09-19,-1,2311.75,2303.5,4,61.12,70.0,53.473214285714285,time,930,955,0.14287527133077307,0.1636333277675739,106.94642857142857,NQ
2011-09-26,-1,2209.25,2226.5,4,-142.88,-134.0,55.857142857142854,time,930,955,-0.3197442455242967,-0.29987212276214836,111.71428571428571,NQ
2011-10-03,-1,2086.75,2078.0,4,65.12,74.0,56.589285714285715,time,930,955,0.14384348374881667,0.16345850426001893,113.17857142857143,NQ
2011-10-10,1,2253.25,2273.25,4,155.12,164.0,61.3125,time,930,955,0.3162487257900102,0.3343527013251784,122.625,NQ
2011-10-17,-1,2329.25,2330.75,3,-12.66,-6.0,66.9375,time,930,955,-0.031521942110177406,-0.014939309056956116,133.875,NQ
2011-10-24,1,2374.0,2379.25,3,27.84,34.5,68.66071428571429,time,930,955,0.06757867360208061,0.08374512353706111,137.32142857142858,NQ
2011-10-31,-1,2364.0,2356.5,3,41.34,48.0,67.30357142857143,time,930,955,0.10237198195807908,0.11886442027062882,134.60714285714286,NQ
2011-11-07,1,2360.0,2367.75,3,42.84,49.5,64.76785714285714,time,930,955,0.11023986765922252,0.1273779983457403,129.53571428571428,NQ
2011-11-14,1,2340.25,2338.75,4,-16.88,-8.0,55.964285714285715,time,930,955,-0.037702616464582,-0.017868538608806637,111.92857142857143,NQ
2011-11-21,-1,2217.25,2209.75,4,55.12,64.0,51.901785714285715,time,930,955,0.13275073111990365,0.15413727851367623,103.80357142857143,NQ
2011-11-28,1,2212.25,2224.5,5,116.4,127.5,47.035714285714285,time,930,955,0.2474715261958998,0.27107061503416857,94.07142857142857,NQ
2011-12-05,-1,2319.25,2327.5,5,-88.6,-77.5,45.776785714285715,time,930,955,-0.19354788375268187,-0.16929978544958063,91.55357142857143,NQ
2011-12-12,-1,2284.25,2290.5,5,-68.6,-57.5,47.910714285714285,time,930,955,-0.14318300409988818,-0.12001490868430861,95.82142857142857,NQ
2011-12-19,1,2208.25,2210.5,5,16.4,27.5,48.026785714285715,time,930,955,0.034147611080126414,0.05725971370143149,96.05357142857143,NQ
