day,dir,entry,exit,qty,pnl,pnl_gross,stop_dist,why,min_in,min_out,R,R_gross,atr,market
2010-09-13,1,1917.75,1918.0,20,-14.399999999999999,30.0,12.0,time,635,955,-0.029999999999999995,0.0625,62.69642857142857,NQ
2010-09-20,1,1969.25,1986.25,20,655.6,700.0,11.5,time,600,955,1.4252173913043478,1.5217391304347827,60.69642857142857,NQ
2010-09-27,-1,2011.75,2021.5,20,-414.4,-370.0,9.25,stop,670,835,-1.1199999999999999,-1.0,60.625,NQ
2010-10-04,-1,1983.0,1972.75,19,366.32,408.5,12.75,time,640,955,0.756078431372549,0.8431372549019608,55.035714285714285,NQ
2010-10-11,1,2033.75,2023.0,20,-454.4,-410.0,10.25,stop,620,930,-1.1082926829268291,-1.0,55.25,NQ
2010-11-01,1,2146.0,2130.75,16,-507.52,-472.0,14.75,stop,600,660,-1.0752542372881355,-1.0,52.767857142857146,NQ
2010-11-08,1,2184.5,2185.25,20,5.600000000000001,50.0,10.75,time,615,955,0.013023255813953492,0.11627906976744186,53.607142857142854,NQ
2010-11-15,-1,2131.0,2128.0,12,57.36,84.0,19.75,time,605,955,0.1210126582278481,0.17721518987341772,56.660714285714285,NQ
2010-11-29,-1,2118.0,2147.0,8,-473.76,-456.0,28.5,stop,600,915,-1.0389473684210526,-1.0,51.232142857142854,NQ
2010-12-06,-1,2183.0,2193.0,20,-424.4,-380.0,9.5,stop,695,940,-1.1168421052631579,-1.0,46.089285714285715,NQ
2010-12-13,1,2224.25,2215.0,20,-394.4,-350.0,8.75,stop,655,920,-1.1268571428571428,-1.0,48.42857142857143,NQ
2010-12-20,-1,2213.75,2225.0,20,-474.4,-430.0,10.75,stop,600,840,-1.1032558139534883,-1.0,46.267857142857146,NQ
2011-01-03,1,2257.25,2252.0,12,-140.64,-114.0,19.5,time,605,955,-0.30051282051282047,-0.24358974358974358,42.05357142857143,NQ
2011-01-10,1,2275.75,2283.25,20,275.6,320.0,11.5,time,715,955,0.5991304347826087,0.6956521739130435,41.285714285714285,NQ
2011-01-18,1,2320.75,2327.25,12,141.36,168.0,20.5,time,680,955,0.28731707317073174,0.34146341463414637,34.982142857142854,NQ
2011-01-24,1,2281.75,2298.0,17,531.76,569.5,14.25,time,660,955,1.0975438596491227,1.1754385964912282,36.089285714285715,NQ
2011-02-07,1,2346.25,2346.5,20,-14.399999999999999,30.0,9.25,time,600,955,-0.03891891891891892,0.08108108108108109,36.42857142857143,NQ
2011-02-14,1,2383.75,2384.0,20,-14.399999999999999,30.0,7.25,time,610,955,-0.0496551724137931,0.10344827586206896,37.910714285714285,NQ
2011-02-22,1,2364.5,2341.0,10,-482.2,-460.0,23.0,stop,615,755,-1.0482608695652174,-1.0,38.767857142857146,NQ
2011-02-28,-1,2352.25,2351.5,20,5.600000000000001,50.0,10.5,time,685,955,0.013333333333333336,0.11904761904761904,40.035714285714285,NQ
2011-03-07,-1,2358.0,2328.25,19,1107.32,1149.5,13.0,time,605,955,2.2415384615384615,2.326923076923077,39.5,NQ
2011-03-14,-1,2279.25,2288.5,11,-216.92,-192.5,21.0,time,655,955,-0.4695238095238095,-0.4166666666666667,41.625,NQ
2011-03-15,1,2239.0,2256.25,10,332.8,355.0,25.0,time,625,955,0.6656,0.71,43.94642857142857,NQ
2011-03-21,1,2266.5,2258.75,12,-200.64,-174.0,19.5,time,625,955,-0.4287179487179487,-0.3717948717948718,47.357142857142854,NQ
2011-03-22,-1,2253.25,2256.75,20,-164.4,-120.0,10.25,time,655,955,-0.4009756097560976,-0.2926829268292683,46.410714285714285,NQ
2011-03-25,1,2322.0,2313.75,20,-354.4,-310.0,10.5,time,630,955,-0.8438095238095238,-0.7380952380952381,44.892857142857146,NQ
2011-03-28,-1,2311.5,2301.25,18,347.04,387.0,13.5,time,700,955,0.7140740740740741,0.7962962962962963,48.875,NQ
2011-03-31,-1,2329.0,2339.25,20,-434.4,-390.0,9.75,stop,600,855,-1.1138461538461537,-1.0,47.910714285714285,NQ
2011-04-04,-1,2332.5,2332.5,15,-18.3,15.0,16.0,time,600,955,-0.038125,0.03125,46.42857142857143,NQ
2011-04-11,-1,2315.75,2310.0,16,164.48,200.0,15.5,time,605,955,0.33161290322580644,0.4032258064516129,45.232142857142854,NQ
2011-04-14,1,2303.5,2308.0,15,116.7,150.0,15.75,time,625,955,0.246984126984127,0.31746031746031744,41.69642857142857,NQ
2011-04-15,1,2303.25,2304.0,18,5.039999999999999,45.0,13.75,time,660,955,0.01018181818181818,0.09090909090909091,40.535714285714285,NQ
2011-04-18,-1,2258.0,2283.0,10,-512.2,-490.0,24.5,stop,600,885,-1.0453061224489797,-1.0,40.82142857142857,NQ
2011-04-19,-1,2286.5,2297.25,20,-454.4,-410.0,10.25,stop,655,830,-1.1082926829268291,-1.0,41.05357142857143,NQ
2011-04-20,1,2351.25,2354.5,20,105.6,150.0,10.75,time,605,955,0.2455813953488372,0.3488372093023256,39.482142857142854,NQ
2011-04-25,-1,2373.0,2381.25,20,-354.4,-310.0,7.75,stop,650,860,-1.1432258064516128,-1.0,38.75,NQ
2011-05-02,1,2410.5,2400.25,20,-434.4,-390.0,9.75,stop,620,740,-1.1138461538461537,-1.0,36.57142857142857,NQ
2011-05-05,1,2387.75,2372.25,16,-515.52,-480.0,15.0,stop,600,910,-1.074,-1.0,33.75,NQ
2011-05-06,1,2403.25,2387.25,16,-531.52,-496.0,15.5,stop,670,795,-1.0716129032258064,-1.0,34.642857142857146,NQ
2011-05-09,1,2384.5,2375.25,20,-394.4,-350.0,8.75,stop,610,620,-1.1268571428571428,-1.0,36.375,NQ
2011-05-16,1,2371.25,2359.25,20,-504.4,-460.0,11.5,stop,660,710,-1.0965217391304347,-1.0,32.857142857142854,NQ
2011-05-24,-1,2311.0,2301.5,20,355.6,400.0,10.5,time,630,955,0.8466666666666667,0.9523809523809523,35.25,NQ
2011-05-25,1,2309.0,2310.0,20,15.600000000000001,60.0,11.5,time,630,955,0.03391304347826087,0.13043478260869565,34.839285714285715,NQ
2011-05-31,-1,2354.0,2362.75,20,-374.4,-330.0,8.25,stop,600,940,-1.1345454545454545,-1.0,34.357142857142854,NQ
2011-06-02,1,2333.0,2318.25,17,-522.24,-484.5,14.25,stop,600,690,-1.0778947368421052,-1.0,35.410714285714285,NQ
2011-06-06,1,2297.75,2286.25,20,-484.4,-440.0,11.0,stop,680,820,-1.1009090909090908,-1.0,37.75,NQ
2011-06-09,1,2255.5,2256.0,20,-4.399999999999999,40.0,9.25,time,600,955,-0.011891891891891888,0.10810810810810811,38.285714285714285,NQ
2011-06-10,-1,2238.75,2221.75,20,655.6,700.0,12.0,time,605,955,1.3658333333333335,1.4583333333333333,35.910714285714285,NQ
2011-06-13,1,2230.0,2217.75,20,-514.4,-470.0,11.75,stop,625,710,-1.0944680851063828,-1.0,36.589285714285715,NQ
2011-06-20,1,2197.5,2199.75,16,52.480000000000004,88.0,14.75,time,700,955,0.11118644067796611,0.1864406779661017,35.464285714285715,NQ
2011-06-27,1,2226.0,2247.5,16,668.48,704.0,15.5,time,600,955,1.3477419354838711,1.4193548387096775,35.339285714285715,NQ
2011-07-05,1,2362.0,2356.5,20,-244.4,-200.0,5.0,stop,600,615,-1.222,-1.0,43.82142857142857,NQ
